text,label,source,anime
回复 JusticarSANS 绝！,negative,bilibili,小林家的龙女仆 第二季
我RWR动了，我不玩了,neutral,bilibili,葬送的芙莉莲
后面反过来是mmk想放弃乐队劝学nina，nina弃学组乐队,positive,bilibili,少女乐队的呐喊
以上画面由nas友情提供,positive,bilibili,比宇宙更远的地方
hallo,neutral,bilibili,魔女之旅
infp就是这样被拿捏的,neutral,bilibili,少女乐队的呐喊
最后的one last kiss伴随着火车站的拉伸镜头，由eva的世界过渡到现实，满满都是离别的不舍，我很少哭，但每到这里我都忍不住,positive,bangumi,新・福音战士剧场版：终
老觉得这里魔法一二号表情有点微妙，而且二号先提议补刀mother才跟本体汇报身体部长的事，是不是给以后并列意识黑化做铺垫呢。。。,positive,bilibili,转生成蜘蛛又怎样！
bokowa基拉,neutral,bilibili,魔女之旅
是夏提雅被控制前预料到了自己将要被控制，所以在最后时期投出了滴管神枪，击杀了敌方两个大将包括“倾国倾城”使用者，但是使用者在死前并没有下达任何指令，所以出现了一个盲目NPC的状态,positive,bilibili,OVERLORD
我也看成2B了笑死,neutral,bilibili,四月是你的谎言
"T15 83分
京阿尼的又一校园音乐作，更多着力点在细腻真实的青春戏剧冲突，更偏群像的叙事演出，几乎无可匹敌精湛制作。抛弃传统校园作的各种幻想，在这里是真实甚至说是有些冷峻残酷但依旧不失温暖的校园氛围。其中不乏集体与个人关系的探讨，从丽奈的小号独奏选拔，到部员个人生活与练习的抉择。也可一窥真实但理想的社团描写，虽然最初氛围是松散梳理的，但在压力与成功后逐渐凝聚为一体。角色上也有成长，黄前久美子，最初抱着疏离但渴望融入却处处置身事外的态度，到逐渐正视自己，明确信念；高坂丽奈，始终坚持自己的理想（夜爬山中的那句“我想成为特别的人”不失为最好的呐喊）。除此之外，比较好的是音乐演出，虽然什么都不懂但也还是能够沉浸其中，且成员的个性差异，社团的变化成长也能在演出中体现，既享受视听又服务剧情。不存在刻意煽情，有成长有喜悦有遗憾，这才是青春最真实多彩的模样啊",positive,bangumi,吹响吧！上低音号
回复 RikkiTokyo md前面发错了,negative,bilibili,mygo
本来想打五分的，因为mygo和mujica本质上是一部番，mujica崩了mygo也会跟着崩，但第七集还是太优秀了,neutral,bangumi,mygo
可御可萝su ki,neutral,bilibili,因为太怕痛就全点防御力了 第二季
猪猪cv松冈祯丞和善子cv下野纮去体验了瀑布修行,negative,bilibili,鬼灭之刃 柱训练篇
由渡边信一郎和Nujabes共同构筑的跨时代梦想，永远满分。,positive,bangumi,混沌武士
注意这里op开始了,neutral,bilibili,颂乐人偶
dianhzu,neutral,bilibili,Fate/stay night [Unlimited Blade Works] 第一季
回复 kenDSG教授 更不明白了，,negative,bilibili,鬼灭之刃 游郭篇
回复 AntennaBaby 虫箭作用不一样，觉醒的是觉醒的，镇魂曲是镇魂曲,negative,bilibili,JOJO的奇妙冒险 石之海
不想接近你，非要去追，dog,neutral,bilibili,国王排名 勇气的宝箱
回复 small云愿biu  怕被打捏,negative,bilibili,少女乐队的呐喊
还有titan队服,neutral,bilibili,少女乐队的呐喊
"非常非常顶级的意识主义演出风格，但是剧本底子太弱了 浮夸风的演出弥补了剧本本质的问题，但是又面临着化妆过度的问题。好在这样的演出风格分镜实在是太对我取向狙击了。
以及，这tm犯法了吧，帅姐姐撩着12岁小男生脸红心跳处处吻，这tm犯法了吧。",positive,bangumi,FLCL
"2025年标。
1993年TV，2022年3D剧场版（未看）；老剧场版不打算看了。",negative,bangumi,灌篮高手
9。空境系列巅峰作，被平尾的演出技法完全调动了情绪（观看这部的同期补了双恋A），平尾的蒙太奇使用确实很有千年女优的感觉。“这个螺旋 要是矛盾下去的话那该多好”，因螺旋而生的少年，成为了螺旋破灭的根源。从整个空境动画的故事上来看，也是空境这个系列的矛盾螺旋的中心。,positive,bangumi,剧场版 空之境界 第五章 矛盾螺旋
『94』在任何方面上都比sac优秀，我不相信有人看到塔器科玛牺牲不为之感动的“你们或许都有灵魂”真的太震撼，毫无疑问是我动画生涯的no1，感谢神山，感谢鸭子，感谢营野洋子，感谢田中郭美，感谢土郎，网络无限宽广，意识至上，致 攻殻機動隊结期待26年更贴合原著的搞笑素子,positive,bangumi,攻壳机动队 S.A.C. 2nd GIG
lllll？,neutral,bilibili,约会大作战 第四季
回复 wwfrugal 看完ab更不好受了,neutral,bilibili,某科学的超电磁炮T
nina酱nina酱nina酱nina酱nina酱nina酱nina酱nina酱nina酱nina酱nina酱nina酱,negative,bilibili,少女乐队的呐喊
第8职阶：teacher,positive,bilibili,Fate/stay night [Unlimited Blade Works] 第一季
回复 寻秋mio 1,positive,bilibili,盾之勇者成名录 第四季
回复 翊之逸 如果说的是四大特级咒术师的话，都比四天灾厉害，首先夏油自己可以操作各种强力特级和使用其力量自然不说，乙骨咒术量拥有满手指宿傩一半也很强了，99自身拥有领域（虽然未使用）的情况下还有小型黑洞这种杀招。，5T5咒术师天花板不用评价。4天灾最强的壶宝根本碰瓷不了4特级,negative,bilibili,咒术回战 第二季
666抖M,negative,bilibili,颂乐人偶
回复 Leoandsoldiers 你要说什么理念问题，切嗣的理念不就从生前红A衍生出去的,positive,bilibili,Fate/Zero 第一季
去q去qqq去q去q去q,neutral,bilibili,间谍过家家 粤配版
准时，哥！Poppin Party表情包哦！,negative,bilibili,颂乐人偶
质量是真的不错，给我看高超了，打战雷一直用的少战语音包，还有 “人家二次元小姑娘开虎式都会摆角度看看你的德系队友”jpg,positive,bangumi,少女与战车 剧场版
boku,neutral,bilibili,魔女之旅
为什么，没有bangumi,neutral,bilibili,mygo
回复 Vay1999 番外,negative,bilibili,辉夜大小姐想让我告白 -究极浪漫-
KGB,neutral,bilibili,比宇宙更远的地方
again！,neutral,bilibili,约会大作战 第四季
"上的好突然，希望下周影院还有排片
251123更新
今天去影院看了一遍，虽然看过几遍网络资源了，但我还是没看明白剧情，说到底新EVA真的能总结出一条不会自我矛盾的剧情脉络吗。我似乎能看到庵野秀明在一刀一刀将自己内心刨析给观众，却总是隔着层雾，无法完全理解，最终只能总结为老登味越来越重。但不管怎么说，EVA终仅凭剧情节奏、分镜、文戏便已能担当得起我近些年看到的最优秀的动画电影了。",positive,bangumi,新・福音战士剧场版：终
FQ,neutral,bilibili,约会大作战 第四季
8np,neutral,bilibili,异度侵入 ID:INVADED
哎呦hhhhhh,negative,bilibili,夏目友人帐 第七季
"1010
最爱的动画之一，20年我读大学时看的，也算给我很大影响的作品之一了。运动竞技的表象下，探讨天才与凡人、热爱与压力、友谊与竞争的人生群像剧。
我很喜欢汤浅政明导演的风格，他最大的特点便是用极度外放、暴走的视觉效果呈现角色内心世界。《乒乓》里满是夸张的透视、大色块、人体的拉伸变形等“超写实”表现方式，这种用运动的物理变形映射角色的心理变形，也与运功题材天然契合。取景、运镜思路也并非一般2D作品里常见的，在乒乓对决时大幅度的镜头推拉旋转、超广角镜头，把紧张感拉倒极致，令人叹为观止！
配乐非常加分。你甚至能在一部日本动画里听到Techno Music作为主要的配乐风格。如果你很喜欢电子音乐，也许能感受到牛尾宪辅深受欧洲电子乐的影响，又不失日系的“清透感”。《乒乓》是牛尾最好的作品，就在我看动画的这些年里，一直都没找到类似《乒乓》的配乐。",positive,bangumi,乒乓
音乐和LIVE做得很出色，制作也太顶了，如果在11集结束这一季的话真的是很不错的一部作品；结果最后两集智能让我想起Princess Principal：主打一个跳跃和唐突，剧情快如火箭，人物的不少行为逻辑根本根本说服不了观众。以及DD的蓝毛和黑毛真可爱啊,neutral,bangumi,girls band cry
muzumi,neutral,bilibili,少女乐队的呐喊
"好久没在日漫里面听过正宗的英文了有点感动哈哈
突然想到这样我在英国旅行也可以圣地巡礼了
甚至9又43站台和贝克街221B都能去圣地巡礼了！！！双厨狂喜！！！
HTT走向世界了
最后的滑滑蛋神了
轻音永不毕业！",positive,bangumi,轻音少女 剧场版
对我也觉得12最后的live,negative,bilibili,mygo
找到库克送iPhone15是吧,neutral,bilibili,国王排名 勇气的宝箱
打开bangumi的排行榜，首页竟然就能看见一部美国动画，这根本就是让我不忍直视,negative,bangumi,猫和老鼠
回复 香蕉StatTrak 我倒是不急，因为我知道后面是什么展开,negative,bilibili,关于我转生变成史莱姆这档事 第三季
piss,neutral,bilibili,比宇宙更远的地方
我出boring我们可是最强突袭者啊！）,neutral,bilibili,Fate/stay night [Unlimited Blade Works] 第一季
把最普通的家庭 亲情和责任描绘的克制但是温柔 不同于强行催泪的作品 而是恰到好处让你可以哭出来的感觉 互相支撑 互相原谅帮扶的人们 但是后期悲剧堆砌到密集的程度还有前期男二与妹妹的魔改确实是不得不批判的点 不够深刻 稍有刻意 但是不得不否认这就是最优秀的galgame改动画【95】,positive,bangumi,CLANNAD 〜AFTER STORY〜
"刚开始看mygo的时候 并没有什么特别的感觉，因为属于我的少女乐队，它早已出现。
各个意义上来说，mygo都不是一部最好的番，不是2d啦，题材小众，难蹦的剧情映照着现实仿佛述说着这只不过是一部乐子番。
但随着剧情的高潮，春日影的奏响一切的一切都融入了旋律之中，放声呐喊并不是为了得到回应什么，而是仅仅想要成为人类为这当下的不甘、不舍全部发泄出来，最能打动人的一定不是理性，而是情感。
向我们诉说着，这一切都是真的，那绝非什么虚假之物，而是切切实实存在的
谁没有曾经想要守护的珍贵之物谁又因现实的种种因素而不得不放弃某些东西
身处泥潭之中，砥砺前行的就一定是强者在现实面前，没有胜者，只有努力成长之人。
幸福的时候，难道追求一辈子，也是错的吗
PS：我大概一辈子也忘不了mygo了吧",positive,bangumi,mygo
nygoU149看完再重温这或许是每部高达的最终结局,positive,bangumi,∀高达
ew三技能,positive,bilibili,Fate/stay night [Unlimited Blade Works] 第一季
相比95版开头变成3D，还多了一处3D场景，虽说拥抱新技术是件好事，但我还是更喜欢手绘,positive,bangumi,攻壳机动队2.0
天哪baker和emon！！术术人狂喜,neutral,bilibili,比宇宙更远的地方
这我这没毛病Kizuna AI震惊,negative,bilibili,关于我转生变成史莱姆这档事 第二季
几乎所有用3D替代原版手绘的部分都不成功，尤其是素子跳楼，完全无法还原那种力度和美感。OP中我非常喜欢的以数字代码和键盘敲击声引出的STAFF名单的做法也被替换了。另外不知对某些手绘画面做了怎样的数码处理，是用数码技术重新上色了吗？赛璐璐的质感几乎消失了。傀儡师的声优换成女性，榊原良子的演技的确很好，但我更喜欢原版中男性声音女性躯壳的设计。另外，片尾不应该放傀儡谣。,negative,bangumi,攻壳机动队2.0
回复 头像coser是谁告诉我 人家决定一个名称都需要一个星期,negative,bilibili,关于我转生变成史莱姆这档事
回复 乱世浮尘6 Dio：塞够你high铁鸭子哒！,negative,bilibili,岸边露伴 一动也不动
我真想不明白一个几近完美的高中生捡到一个能杀人的笔记本为什么第一反应是成为卡密sama并为之努力十几年说他想成为日本总统或者哪怕美国总统我都没这么难绷如果是冈伦凉宫狛枝这样的说想当神我都会觉得没问题因为这些人性格或者生活里是有中二在的，夜神月没有啊到底为什么他第一反应是成为新世界的卡密sama啊,neutral,bangumi,死亡笔记
谁磕义忍谁是Gay,negative,bilibili,鬼灭之刃 柱训练篇
为什列车上午有WLAN？,neutral,bilibili,颂乐人偶
真不错，但又卖gl又卖bg，还安排意义不明的加藤的“党争情节”，实在毁观感,neutral,bangumi,吹响吧！上低音号
想到这里剧情包寿司只是为了卖first take我就想笑,positive,bilibili,颂乐人偶
好，但otaku味太重了。放在gal里还算正常动漫里就有些奇怪。虽然是先看的动漫就是了。。,positive,bangumi,命运石之门
恶鬼传说。退赛。是不是没有回来到啊到时候再给你留着啊。Sun,neutral,bilibili,鬼灭之刃 柱训练篇
"1、真心为“你”；
2、献给逃避一切之人的过于残酷的故事；
3、虽然很多人说，看完tv24集后，可以直接看 air 与 真心为你 ，但个人认为 死与新生 仍然是旧版eva不可或缺的一部分，不得不补完；
4、崩溃 崩溃 崩溃；
5、小朋友看完，估计会吓的一周都喝不了橙汁吧（；",positive,bangumi,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你
快救鲤夏姐姐啊啊啊啊！OAO,positive,bilibili,鬼灭之刃 游郭篇
人物动机根本解释不清，bro以为台词越多情感越醇厚，这玩意从黎明卿篇章开始就流俗了强忍着笑意看完12集 不禁想问仰山杨公子生母大还是养母大,neutral,bangumi,来自深渊 烈日的黄金乡
回复 云溪yunxi 哈哈,negative,bilibili,魔女之旅
心疼Zak,neutral,bilibili,Angels of Death
哦 no,neutral,bilibili,四月是你的谎言 粤配版
"豆瓣标记210322：
20221021 二刷 日常番的珠穆朗玛
20250310 三刷 恐怕每到一个新公司都得重刷一遍
我的动漫TOP10榜单TOP3：日常番的珠穆朗玛",positive,bangumi,日常
回复 不忘研PuPrecure 说上线已经过2年了，eva终也是21年上映的，这部都上线了，不知道eva终什么时候能上线,negative,bilibili,剧场版 咒术回战 0
池沼CHIZHAO,neutral,bilibili,少女乐队的呐喊
一场拒绝被定义的、嘈杂而深情的成长庆典。把头颅当作压抑的火山，对性困惑、成长焦虑与对成人世界的抗拒，混杂成机器人从中喷发，这太青春了。通过接纳内心的怪物，击败了代表僵化秩序的巨人，最终获得的不是明确的未来，而是继续“挥棒”的勇气与资格。碎片化的狂想叙事、符号狂欢的视觉风格，本身就是对标准化成熟的反叛。它给出的答案并非长大成人，而是带着那份“又傻又酷”（Fooly Cooly）的混沌力量，太喜欢这种风格了,negative,bangumi,FLCL
回复 Kristen斯图尔特 太神了兄弟,negative,bilibili,虚构推理
第一季虽然也很感人但只能算作佳作。此外，因为原作galgame载体的缘故，导致中途有一部分导致的后宫剧情看的人很奇怪，所以只能扣分。,neutral,bangumi,CLANNAD
AS篇毫无疑问的十分，但是学园篇剩下的几条线勉强及格。算上第一季学园篇整体的人物塑造和剧情逻辑都比不了游戏，显得非常粗糙，不过gal改确实难我也理解，9分对于clas已经算很高评价了。,positive,bangumi,CLANNAD 〜AFTER STORY〜
motiai,neutral,bilibili,少女乐队的呐喊
人物塑造拉满，每个人个性鲜明，相当优秀的群像描写，可惜立希和猫猫有点略显单薄，续作也没有弥补这点，特别是soyo的塑造，前后剧情联系紧密，节奏紧凑，情绪调动也很好，特别喜欢诗超绊的情感爆发，场外也属于是新时代互联网社区奇迹 2025621 不少人觉得mygo的场外社区滋生了很多ky小鬼，私以为这反而揭开了展示了婆罗门的双标的恶臭嘴脸。go和东方在场外方面很明显是同一类型的作品，都具有高社区活跃度meme丰富二创积极等的特点，这样的社群必然会渗入到各种亚文化圈层，对于前者的情况更多的是当成ky处理，而对于后者却仅仅只诞生了一个“电子越共”的娱乐梗，一方面是互联网社群日益保守化的结果，另一方面则是婆罗门的傲慢，所以如果东方生在当下这个时代，也许会被骂“木柜子妖怪闹麻了，劣质雷霆战机游戏到处探头”，所以我的观点是，这两部作品都不应该被这么指责。,positive,bangumi,mygo
应该直接叫dame,neutral,bilibili,约会大作战 第四季
WC，盒！,neutral,bilibili,Fate/Zero 第一季
原本是看mygo时想起了这部口碑很好的乐队番，实际体验下来乐队的成分并不多（甚至可以说滑滑蛋血C了两季），本质上还是日常番。没有毒点但感觉也没太多亮点。然后继续呆唯可爱！,neutral,bangumi,轻音少女 第二季
我心目中唯一的神作 没有任何好说的 从我小学六年级看完的那一刻 直至现在这种感觉 我都没有变过 尽管我已经把Key社三部曲全部看完 Key的游戏也玩过一些了 我依然觉得这部动漫是绝对的神,positive,bangumi,CLANNAD 〜AFTER STORY〜
呀咧呀咧daze,neutral,bilibili,约会大作战 第四季
mio，yui，律队的既视感,positive,bilibili,比宇宙更远的地方
POPGO AVCFLACAAC CHS 外挂,negative,bangumi,攻壳机动队 S.A.C. Solid State Society
这还是我看的第一部偶像类的动漫。在刚看完最后几集的情况下差点一股气评上十分，因为这部作品带给我的感动真的太多了，对一些人物的刻画也是让我深刻，唯一可惜的就是集数问题导致雪步和贵音的剧情太少了，与其他人产生的关系描写太少了，转变的也比较奇怪，可我依旧能喜欢上765每一个人。在这里面的P能力可能不是最好的，但他确实关心着每个人，他知道错误会改进会实践，很多事他也起到了主要作用，不过765最厉害的还是团结力。挺喜欢梓的个人回这种跑来跑去的感觉，还有真哥的那段又帅又爽的打戏（没想到能在偶像番里看到）。还有前期一直在铺垫的千早线，感情的刻画太细腻了。最后就是春香，番中关于她的描写很多，她也是整个团队最有凝聚力的人，每当团队遇到困难时她总会鼓励大家。最后几集氛围演出和情绪把控的很好，把我带入进去了，很久没哭那么多次了，25集的手绘live更是让我又惊喜又感动。,positive,bangumi,偶像大师
回复 AcorHugo 如果摩天大楼会崩塌,negative,bilibili,我们仍未知道那天所看见的花的名字。
"1看了一集。不喜欢超高科技（科幻）玩意儿对话信息密度大，不明白（不过总是看完能懂是个什么故事）
2表达内容非得用科幻世界来表达么？
3看了4集，之后是九课每集救一次火，到最后揭开一个大阴谋么？
4ed比op更好听
5看了17集。只能说不大理解片子要表达啥。而不意外地，看到了吹它伟大的评论。不明觉厉就吹，真恶心。就问这种傻缺一个问题：这部剧在讨论啥？答得上来么？
621集九课的飞机被人肉炸弹炸毁，俩飞行员跟着死了，但没一人有情感反应。她们不是人，不配得到别人的眼泪么
724集，合田的目的渐渐显露。好像有点明白又还是不明白整部剧到底要表达啥。不过可以确定是我需要再回看理解不是剧故弄玄虚
8费解都在用讲故事这种简单易懂方式了，咋还搞得不好理解跟看论述书籍似的一大堆莫名其妙的东西（特指塔奇克玛们讨论什么第三主体那集）",negative,bangumi,攻壳机动队 S.A.C. 2nd GIG
回复 Vileygr 大家别去看这个瑠衣浪费时间,negative,bilibili,堀与宫村
RE0乱入,neutral,bilibili,约会大作战 第四季
Oh no，路灯。,neutral,bilibili,Fate/Zero 第一季
回复 sintancoscot骨头是作为冒险者过来打八指的 然后途中看到有人打起来就来了  结果发现是小迪。。。 骨头不知道小迪在做啥方的要死,negative,bilibili,OVERLORD Ⅱ
帽 子zip,negative,bilibili,魔女之旅
像P4开局那棵树hh,positive,bilibili,少女乐队的呐喊
很多人锐评真嗣是废物，实际上这个番除了真嗣的，才都是废物吧？只会微笑挨打的丽，超雄舔狗明日香，宇智波巨婴碇源堂。这部剧除了真嗣以外的所有人都是极端的塑造，在观看过程中和monster一样，你感受不到所谓的博弈与智慧，碇源堂谜语人到最后也只是一个，像创造只有我和唯的世界。。宗教要素只是为了加入帅气的名词和时髦度，真嗣更贴近正常可以理解的角色，估计也是因为这是典型的阿宅幻想的自己，阿宅是废物，但是幻想的自己又可以打怪兽，拯救世界，有人爱,neutral,bangumi,新世纪福音战士
拿货车当QQ飞车玩呢,positive,bilibili,少女乐队的呐喊
Mio,neutral,bilibili,比宇宙更远的地方
上一次打开这部剧集已经是七八年前，也是这部作品让我认识了YUKI和spitz并喜欢了很长一阵子，而如今我也快到达启程的时刻了，不知是否还会觉得它们的青春过于耀眼呢,negative,bangumi,蜂蜜与四叶草
花了最久的时间观看的作品，感谢半年来的陪伴。看得最舒服的治愈系作品，一直不舍得看完啊不过有朝一日还会抓起来二刷的了，盼愿下一次在ARIA company再会。,positive,bangumi,水星领航员 第三季
《番名：AVEmujica》,neutral,bilibili,颂乐人偶
属于大学生的恋爱脑，迷茫男主最后骑车出走梦回相聚一刻。羽海野的少女漫经常追求点到为止，用搞笑桥段拒绝过分苦情，在苦情的时候又插入不重样的情歌，导致同性异性交际都太抹布洗了，不过一个偶像剧一定要像nana一样狗血吗，换个角度它还挺清新的，拨开恋爱元素，日子该过还得过。ep7竹内哲也一人原,positive,bangumi,蜂蜜与四叶草
才听出来是mlo的声音,negative,bilibili,比宇宙更远的地方
Gintoki daisuki,negative,bangumi,银魂'
hj,neutral,bilibili,Fate/Zero 第一季
实力大涨必有BGM,positive,bilibili,魔女之旅
超雄啊你fw一个,neutral,bilibili,Fate/Zero 第一季
"艾尔多利耶与爱丽丝的相熟是如此的充满偶然。

   对于他来说，爱丽丝不仅是比自己年幼的少女，更作为骑士还远远高位于他，同时还是骑士长贝尔库利唯一的弟子，因而爱丽丝只会使他感到不快，理应不可能抱有任何亲近之情。

   然而，在成为骑士一段时间后的某个黎明。

   艾尔多利耶偶然目击到了爱丽丝的令人意想不到的身姿。

   他为暗中进行剑术修行而在踏足蔷薇园深处，在那里看到了只穿着朴素睡衣的爱丽丝跪在一座粗陋的墓碑前，嘤嘤啜泣着。刻在只是用砍下的原木交叉重叠而成的墓碑上面的名字，是在几天之前寿尽的一头老飞龙生下爱丽丝的骑龙【雨缘】与艾尔德利耶的骑龙【滝刳】的母亲的。即便是高贵的飞龙，在骑士的眼里不过也只是供人役使的野兽，正当艾尔多利耶心中不屑时，眼泪莫名涌上眼眶爱丽丝那为已逝飞龙而悲哭的身姿，不知道为什么给自己的心灵带来了如同撕裂心脏般的冲击。爱丽丝的形象在艾尔多利耶的心中已如之前那副刻板姿态转化为了现在这般有血有肉的女子。
   
    这蔷薇园中的一瞥，使两人的命运交缠在了一起。
    
从那天起，映照在艾尔德利耶眼中的孤高骑士爱丽丝的形象，开始变得和之前截然不同了。无论面对何样的逆风都毅然地昂着头，但又似会随时夭折的水晶之花。
  想要守护她。想要将折磨那位少女的寒风尽数挡下。


爱丽丝大人。
  露出微笑，合起双眼，在下一瞬间。骑士的全身，都被黑暗吞噬了。

  整合骑士艾尔德利耶SynthesisThirtyone那稍稍超过五千的天命值。

  瞬间，变成了负五十万。

「别哭了。妈妈」
  然后，整合骑士艾尔德利耶SynthesisThittyone，又名艾尔德利耶乌尔斯布鲁格的灵魂，永远离开了Under World。",positive,bilibili,刀剑神域 爱丽丝篇 异界战争
被KQ摸了,neutral,bilibili,JOJO的奇妙冒险 石之海
w w w w w w,neutral,bilibili,四月是你的谎言 粤配版
师承soyorin,neutral,bilibili,少女乐队的呐喊
OHHHHHHHH,neutral,bilibili,魔女之旅
Steam打洞机,neutral,bilibili,比宇宙更远的地方
3a面板啊。还有一个成长性a,positive,bilibili,JOJO的奇妙冒险 石之海
Emiya丶士郎 圣骸布版卫宫士郎   你们要说的就只有合影吗！我还没资格当吉祥物呢！总之有点担心剧情开始加速了希望能保持住目前的水准。,negative,bilibili,Fate/stay night [Unlimited Blade Works] 第一季
五条悟：gain ki 冰冰da yo！,negative,bilibili,四月是你的谎言
yep 我欣赏不出来,positive,bilibili,四月是你的谎言
“永别了，所有的Evangelion”,positive,bangumi,新・福音战士剧场版：终
没钱办宴会的小祥jpg,negative,bilibili,mygo
lkpikiopkplo,neutral,bilibili,紫罗兰永恒花园
WARNING：BOSS第一阶段,positive,bilibili,少女乐队的呐喊
遠場所目指 Lets go,negative,bilibili,比宇宙更远的地方
魔女之旅：伊蕾娜 VS 18名猎人,positive,bilibili,魔女之旅
MAYA是你吗，上次见你还是在英语考卷上,negative,bilibili,工作细胞 第二季
“我是来结束乐队的！”（soyo声）,negative,bilibili,少女乐队的呐喊
回复 Harrow 额，的翻译。。。,negative,bilibili,辉夜大小姐想让我告白～天才们的恋爱头脑战～
你们真能看完吗？俩部看完我已经怀疑人生了，那大叔一直念叨joe joe joe我听着头都大了，打斗音效也是重复利用耳朵都长茧了，我有一说一看完我根本记不住，印象最深的时刻也是第一季力石的死，感觉越往后反派越塑造的没什么灵性了，你配角塑造的如果能够好有自己的意志和精神那我是愿意给你打高分的，但第二季感觉一切都是主角团这边的个人秀，我觉得第一季比第二季好，但画面毫无疑问第二季是大升级，我不知道为什么结,neutral,bangumi,明日之丈2
烤p怎么到处跑23333,neutral,bilibili,少女乐队的呐喊
mmk表情包gif,neutral,bilibili,少女乐队的呐喊
阴冷的雨，赛博义体，存在、记忆，在黑暗的海洋里思考吧，疑问吧。ghost in the shell,positive,bangumi,攻壳机动队
ep7细田守回，神分镜演出绝对命运默示录太洗脑了b38在场面调度和镜头设计上都很值得玩味，比少革风头更盛的物语系列的监督新房也可能或多或少受到了这部作品的启发ep14又是细田守回，忏悔室蝴蝶标本象征意的演出、圣地恐怖气氛营造的演出、决斗场景的演出，环境氛围烘托是一绝与其说是“看”动画，倒不如说单纯在享受音乐和她独特的气质ep22，终于要开始了吗，对前面二十一回的革命ep34，开始了90的内容只作为形式存在斩断“永恒”即为革命ep39，最终回竟然是守哥吗，演出太强了“世界”永恒学园蛋壳棺木父权制，世界尽头理事长室虚幻的权力王子父权制顶点，消失没能成为王子革命失败跳脱出父权制少女的革命既不是成为王子，也不是沦为父权下的木偶，而是跳脱出来，成为“女性”,positive,bangumi,少女革命
"10
恋爱喜剧中的no1，打开就有好心情，传达的价值观也很积极健康。",positive,bangumi,辉夜大小姐想让我告白-超级浪漫-
桐老爷的cv！！桐老爷的cv！！,neutral,bilibili,紫罗兰永恒花园
ep1装了个大笔可太爽了ep5原来还是天赋怪ep14终于开始摆脱佐为外挂了ep18以网络来成全小亮和佐为的全力对决，同时也给了光成长的上限，可以说很妙的设计变成悬疑片了哈哈，你追我跑ep19有个好老师的确非常重要，这是刻意练习不可或缺的一环反馈机制ep26无形装逼最为致命说的就是你小光，用着外挂还要超绝不经意泄出来ep36光又开始嘴贱了ep42这几集互相搞心态笑死了ep47终于要开始最刺激的阶段了，古代最强对现代最强ep48全部跑来看sai下棋笑死了ep53光这说话确实太没方寸，现实中不要学哦会得罪人的ep63有些东西失去了才懂得珍惜这也是sai给小光上的最后一课ep75完结撒花高开高走平收，爽点基本围绕光的谜团展开有些可惜，后期看腻了有大量真围棋教学，可以说爱好者必看了787,neutral,bangumi,棋魂
Stand Alone Complex,positive,bangumi,攻壳机动队 S.A.C. 2nd GIG
哆啦Anya,neutral,bilibili,间谍过家家 第二季 中配版
ep9第八集第九集都好有趣啊。ep13 live事故频发，紧张感拉满，给我也看急了。ep15 笑死我了。ep16 哎我艹961怎么这么坏啊，这集观感不太好。ep19 不是姐们儿你真是月球来的啊？ep20 太好哭了吧。ep21 搞事的961终于要下线了；小鸟牵扯出来的过去看来有说法啊。ep22 看着白板上满满的日程，不仅是偶像们在台上努力，制作人也在为偶像们的事务而活跃着啊，看一集少一集，真的好不舍得。ep23 忙，忙点好啊。日程安排多留点空余时间就好了。ep25 感动,positive,bangumi,偶像大师
攻壳机动队这个热血番似的译名实在是拖了这部动画的后腿，将片名Ghost in the Shell直译成躯壳中的灵魂反而更有助于理解这部片想讨论的内容。全身义体化只留存人类大脑的素子本以为躯体不过是外物而记忆或者说灵魂才是生命的本质，但她在目睹记忆可以被改写覆盖甚至复制后产生了对于自我的怀疑，另一方面自主产生的人工智能可以随意复制自我的信息，却依旧渴望一具躯体来获得生命独有的繁衍能力，从而得到获取外界信息增加多样性的适应与进化之特性，最终两者也是成功融合从而诞生出了一种全新的生命形式。这部片的作画相当精细，特别是开启光学迷彩后的战斗非常有动感，片中的义体、人脑接口、信息海和网络世界等赛博朋克元素对后世影响颇深，比如2077dlc往日之影里跟大平头的决战就跟片尾大战战车的场景如出一辙。,positive,bangumi,攻壳机动队
PS：她喜欢崇公真士，可以理解为士道,positive,bilibili,约会大作战 第四季
不进行训练，派遣sirzj,positive,bilibili,比宇宙更远的地方
回复 ChairyPonPon 然而全球票房是500亿日元，你这数据过时了,neutral,bilibili,鬼灭之刃 无限列车篇
女主真的大方，善良，可爱又美丽呜呜XX,positive,bilibili,四月是你的谎言
补标，50话的黄金之秋，可谓高达历史上的最美结局，灭世兵器相拥为茧，而人类的未来又是化茧为蝶，伴随一个美丽的故事，一首神曲月之茧，人类的未来，破茧为蝶。而这样的大杀器，正因为有罗兰这样心地善良纯洁的polit来驾驶，才没有让黑历史重演，才会让故事变得如童话般瑰丽，高达Z和高达V告诉我们绝望如何写，EVA甚至把这种震惊观众的末世情节推到顶峰。但TA告诉我们，正能量的希望之歌，一样能写出无比精彩的剧本,positive,bangumi,∀高达
回复 tennychen 确实不高他们又不缺钱,negative,bilibili,JOJO的奇妙冒险 石之海
